Iteration,Vehicle Count,Function,Total Execution Time (ms),Call Count,Average Time (ms)
1,17,allocateOHT,17461.770,767,22.766
1,17,scheduleOHT,7290.474,322,22.641
2,17,allocateOHT,16126.471,704,22.907
2,17,scheduleOHT,7323.859,323,22.674
3,17,allocateOHT,15790.070,697,22.654
3,17,scheduleOHT,7332.220,323,22.700
4,17,allocateOHT,15029.945,660,22.773
4,17,scheduleOHT,7175.537,317,22.636
5,17,allocateOHT,16412.352,723,22.700
5,17,scheduleOHT,7111.556,317,22.434
6,17,allocateOHT,15577.954,677,23.010
6,17,scheduleOHT,7596.112,334,22.743
7,17,allocateOHT,15616.312,680,22.965
7,17,scheduleOHT,6758.946,298,22.681
8,17,allocateOHT,16960.142,748,22.674
8,17,scheduleOHT,7236.024,320,22.613
9,17,allocateOHT,17295.951,768,22.521
9,17,scheduleOHT,7025.340,311,22.590
10,17,allocateOHT,13414.024,593,22.621
10,17,scheduleOHT,7097.761,316,22.461
11,17,allocateOHT,15942.285,707,22.549
11,17,scheduleOHT,6844.889,305,22.442
12,17,allocateOHT,15812.993,701,22.558
12,17,scheduleOHT,7383.493,330,22.374
13,17,allocateOHT,14890.173,665,22.391
13,17,scheduleOHT,7321.925,329,22.255
14,17,allocateOHT,14955.747,661,22.626
14,17,scheduleOHT,7173.265,320,22.416
15,17,allocateOHT,15837.900,699,22.658
15,17,scheduleOHT,6812.447,304,22.409
16,17,allocateOHT,16328.190,724,22.553
16,17,scheduleOHT,7331.842,321,22.841
17,17,allocateOHT,15723.385,698,22.526
17,17,scheduleOHT,7404.143,332,22.302
18,17,allocateOHT,15685.494,695,22.569
18,17,scheduleOHT,6988.375,314,22.256
19,17,allocateOHT,15685.262,692,22.667
19,17,scheduleOHT,7006.565,310,22.602
20,17,allocateOHT,16502.691,730,22.606
20,17,scheduleOHT,7109.272,318,22.356
21,17,allocateOHT,16210.031,710,22.831
21,17,scheduleOHT,6673.038,296,22.544
22,17,allocateOHT,17921.181,796,22.514
22,17,scheduleOHT,7213.136,325,22.194
23,17,allocateOHT,16100.566,721,22.331
23,17,scheduleOHT,6781.673,303,22.382
24,17,allocateOHT,16679.566,743,22.449
24,17,scheduleOHT,6971.566,310,22.489
25,17,allocateOHT,16472.046,735,22.411
25,17,scheduleOHT,7355.129,330,22.288
26,17,allocateOHT,15755.922,702,22.444
26,17,scheduleOHT,7149.323,323,22.134
27,17,allocateOHT,15271.903,689,22.165
27,17,scheduleOHT,7126.050,322,22.131
28,17,allocateOHT,15315.223,689,22.228
28,17,scheduleOHT,7083.301,319,22.205
29,17,allocateOHT,14495.796,649,22.336
29,17,scheduleOHT,7187.114,318,22.601
30,17,allocateOHT,16190.367,717,22.581
30,17,scheduleOHT,6845.890,306,22.372
