Iteration,Vehicle Count,Function,Total Execution Time (ms),Call Count,Average Time (ms)
1,17,allocateOHT,14467.831,623,23.223
1,17,scheduleOHT,7106.764,308,23.074
2,17,allocateOHT,17694.252,766,23.100
2,17,scheduleOHT,7012.151,302,23.219
3,17,allocateOHT,14857.578,636,23.361
3,17,scheduleOHT,7222.398,311,23.223
4,17,allocateOHT,16606.141,715,23.225
4,17,scheduleOHT,7224.651,308,23.457
5,17,allocateOHT,17546.646,751,23.364
5,17,scheduleOHT,7604.824,324,23.472
6,17,allocateOHT,15860.682,676,23.463
6,17,scheduleOHT,7395.715,318,23.257
7,17,allocateOHT,15601.053,668,23.355
7,17,scheduleOHT,7837.347,339,23.119
8,17,allocateOHT,16966.733,730,23.242
8,17,scheduleOHT,6892.460,299,23.052
9,17,allocateOHT,16095.155,695,23.158
9,17,scheduleOHT,7284.217,314,23.198
10,17,allocateOHT,16970.348,731,23.215
10,17,scheduleOHT,7308.732,311,23.501
11,17,allocateOHT,15772.263,674,23.401
11,17,scheduleOHT,7503.029,322,23.301
12,17,allocateOHT,16725.302,705,23.724
12,17,scheduleOHT,6888.606,295,23.351
13,17,allocateOHT,17229.105,733,23.505
13,17,scheduleOHT,7461.673,322,23.173
14,17,allocateOHT,16392.303,698,23.485
14,17,scheduleOHT,7446.496,317,23.491
15,17,allocateOHT,21343.370,663,32.192
15,17,scheduleOHT,12299.368,324,37.961
16,17,allocateOHT,28999.881,691,41.968
16,17,scheduleOHT,13777.849,321,42.922
17,17,allocateOHT,31755.175,763,41.619
17,17,scheduleOHT,13745.934,315,43.638
18,17,allocateOHT,19120.645,663,28.840
18,17,scheduleOHT,7863.161,318,24.727
19,17,allocateOHT,13104.425,561,23.359
19,17,scheduleOHT,7219.520,310,23.289
20,17,allocateOHT,16852.484,720,23.406
20,17,scheduleOHT,7870.004,338,23.284
21,17,allocateOHT,16190.933,699,23.163
21,17,scheduleOHT,7209.091,312,23.106
22,17,allocateOHT,18585.275,803,23.145
22,17,scheduleOHT,7694.090,331,23.245
23,17,allocateOHT,16828.710,723,23.276
23,17,scheduleOHT,7262.391,314,23.129
24,17,allocateOHT,16277.147,704,23.121
24,17,scheduleOHT,7245.217,314,23.074
25,17,allocateOHT,17200.928,745,23.088
25,17,scheduleOHT,7450.685,322,23.139
26,17,allocateOHT,15919.004,692,23.004
26,17,scheduleOHT,7362.157,318,23.151
27,17,allocateOHT,14552.394,627,23.210
27,17,scheduleOHT,6899.418,302,22.846
28,17,allocateOHT,15919.753,689,23.106
28,17,scheduleOHT,7079.435,303,23.364
29,17,allocateOHT,15669.009,673,23.282
29,17,scheduleOHT,6958.416,300,23.195
30,17,allocateOHT,16686.960,717,23.273
30,17,scheduleOHT,7309.170,314,23.278
